code,state,total cars
 TX,Texas,94654
 CA,California,80468
 FL,Florida,73313
 GA,Georgia,39623
 IL,Illinois,38680
 NC,North Carolina,37530
 VA,Virginia,35259
 PA,Pennsylvania,28130
 NY,New York,27932
 NJ,New Jersey,27852
 OH,Ohio,23311
 WA,Washington,23149
 CO,Colorado,23004
 AZ,Arizona,22464
 TN,Tennessee,19166
 MA,Massachusetts,17990
 MD,Maryland,17707
 IN,Indiana,16465
 MO,Missouri,16165
 KY,Kentucky,13691
 AL,Alabama,13293
 WI,Wisconsin,11255
 MN,Minnesota,10996
 CT,Conneticut,10906
 UT,Utah,10418
 OR,Oregon,10352
 MI,M,10328
 SC,South Carolina,9790
 OK,Oklahoma,9584
 LA,Los Angeles,8528
 KS,Kansas,7894
 AR,Arkansas,6952
 NV,Nevada,6887
 MS,Mississippi,6242
 NH,New Hampshire,5694
 NE,Nebraska,4924
 IA,Iowa,4840
 NM,New Mexico,4729
 ID,Indiana,3501
 HI,Hawaii,2995
 DE,Delaware,2418
 MT,Montana,1984
 ME,Maine,1920
 RI,Rhode Island,1858
 AK,Alaska,1663
 WV,West Virginia,1501
 SD,South Dakota,1267
 VT,Vermont,1123
 ND,North Dakota,1092
 WY,Wyoming,610
 DC,Washington D.C.,25
